,As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I,S-II,Final,Proj
34,52.5,71.66666666666667,41.0,35.0,,,50.0,10.0,37.5,0.0,0.0,0.0,,,61.66666666666667,32.66666666666667,27.444444444444443,
35,50.0,79.16666666666666,82.0,91.25,,,0.0,0.0,56.25,0.0,0.0,0.0,,,31.666666666666664,27.200000000000003,27.711111111111116,
36,61.5,80.0,93.0,92.5,,,45.0,0.0,62.5,70.0,15.0,10.0,,,51.66666666666667,40.0,73.26666666666667,
37,61.0,58.333333333333336,30.0,73.75,,,55.00000000000001,0.0,50.0,50.0,20.0,15.0,,,45.0,55.400000000000006,37.28888888888889,
38,55.00000000000001,81.66666666666667,45.0,82.5,,,50.0,0.0,43.75,80.0,5.0,50.0,,,51.66666666666667,73.6,62.3111111111111,
39,55.00000000000001,77.5,66.0,0.0,,,80.0,20.0,43.75,40.0,15.0,30.0,,,51.66666666666667,62.66666666666667,69.95555555555556,
40,37.5,0.0,52.0,71.25,,,0.0,0.0,18.75,0.0,0.0,15.0,,,30.0,16.333333333333336,13.444444444444445,
41,64.5,65.83333333333333,69.0,85.0,,,100.0,0.0,50.0,0.0,20.0,70.0,,,50.8,54.46666666666666,55.022222222222226,
42,0.0,72.5,65.0,0.0,,,50.0,0.0,43.75,50.0,5.0,45.0,,,36.666666666666664,22.666666666666664,43.6,
43,43.0,60.0,0.0,71.25,,,0.0,0.0,37.5,45.0,0.0,0.0,,,36.666666666666664,28.133333333333333,46.37777777777778,
44,39.5,0.0,0.0,0.0,,,0.0,0.0,50.0,0.0,0.0,0.0,,,30.0,0.0,15.844444444444445,
45,72.5,75.0,82.0,90.0,,,100.0,60.0,18.75,80.0,25.0,50.0,,,48.333333333333336,69.93333333333334,67.33333333333333,
46,0.0,0.0,0.0,0.0,,,50.0,0.0,18.75,0.0,0.0,0.0,,,49.13333333333333,18.133333333333333,23.133333333333333,
47,70.5,76.66666666666667,73.0,76.25,,,15.0,70.0,37.5,0.0,10.0,40.0,,,55.00000000000001,47.2,62.82222222222222,
48,41.5,0.0,88.0,90.0,,,60.0,20.0,37.5,0.0,0.0,30.0,,,57.46666666666667,37.2,51.488888888888894,
49,32.0,80.0,77.0,82.5,,,0.0,0.0,43.75,60.0,25.0,0.0,,,47.46666666666667,54.46666666666666,53.733333333333334,
50,43.5,0.0,75.0,88.75,,,0.0,20.0,18.75,20.0,5.0,40.0,,,43.333333333333336,51.733333333333334,52.31111111111111,
